章节	相对路径
1	文集/2019/七月/20190717概述价值发现和美元问题.m4a
2	文集/2019/七月/20190731价值论的哲学基础.m4a
3	文集/2019/七月/20190731价值论的哲学基础.m4a
4	文集/2019/九月/20190911价值尺度与美元指数、黄金.m4a
5	文集/2019/九月/20190925宏观经济形势、我们为什么成功.m4a
6	文集/2019/十月/20191005缘起论、资本流向、房地产及其趋势.m4a
7	文集/2019/十月/20191009租息比扰动、经济分析导论.m4a
8	文集/2019/十月/20191019宏观形势、黄金投资、读书与研究.m4a
9	文集/2019/十月/20191023_凯恩斯.m4a
10	文集/2019/十一月/宏观形势、投资基本原则与区块链20191102.m4a
11	文集/2019/十一月/时政与市场形势、广义税赋论20191120.m4a
12	文集/2019/十一月/20191130主权货币的估值逻辑、一析斧MACD的运用.m4a
13	文集/2019/十二月/2019 年市场回顾及未来展望、家庭教育20191214.m4a
14	文集/2019/十二月/总结与投资问题分析20191221.m4a
15	文集/2019/十二月/2019 回顾与 2020 展望、再谈“止定静安虑得”20191228.m4a
16	文集/2020/一月/金融的本质、LPR 与中东伊朗问题20200104.m4a
17	文集/2020/一月/20200118 金融学2、货币与通货，中美第一阶段协定，俄政府改组.m4a
18	文集/2020/二月/20200201 金融学3、新货币主义.m4a
19	文集/2020/二月/20200215 金融学4、货币与信用—货币哲学.m4a
20	文集/2020/二月/20200222 欧盟问题，美元，黄金，股市.m4a
21	文集/2020/二月/20200229 资产运作的四种形态（四矩阵）和美国大选桑德斯.m4a
22	文集/2020/三月/20200307 两化与新基建的选择.m4a
23	文集/2020/三月/20200314 危机之下的价值判断和投资管理.m4a
24	文集/2020/三月/20200321 关于这场世纪性“危机”的定性及其未来发展走势.m4a
25	文集/2020/三月/20200328 金融之负债第一讲.m4a
26	文集/2020/四月/20200411 宏观负债、微观负债、黄金趋势测算.m4a
27	文集/2020/四月/20200425 金融学之负债三、弗里德曼和《美国货币史》、黄金.m4a
28	文集/2020/五月/20200502 数字货币，人民币的三种可能性.m4a
29	文集/2020/五月/20200509 资本的流向和积累率、黄金的购买方式及风险.mp3
30	文集/2020/五月/20200523 港往事，财政赤字，美元策略和黄金，中美地缘政治图景.m4a
31	文集/2020/六月/20200606 非农数据意味着什么，地摊儿经济，收益.m4a
32	文集/2020/六月/20200620 中印冲突，半岛突变，讲课：收益—收益率.m4a
33	文集/2020/七月/20200704 美国、港版国安立法、收益的计算.m4a
34	文集/2020/七月/20200718 比较收益.m4a
35	文集/2020/八月/20200815 基金开篇，美国现状与人民币重置.m4a
36	文集/2020/八月/20200829 基金2-EFT，鲍威尔新规的本质及影响，中国资本市场扩容.mp3
37	文集/2020/九月/20200905 巴菲特的骚操作和南亚风云.m4a
38	文集/2020/九月/20200912 A股、基金的投资方法，对冲基金.mp3
39	文集/2020/九月/20200926 达利欧的报告、恒大事件、美元和黄金的分析.mp3
40	文集/2020/十月/20201010 中印美冲突 基金要点.mp3
41	文集/2020/十月/20201024 “后特朗普时代”和个人负债的问题.m4a
42	文集/2020/十月/20201031 补漏：“孑孓踯躅，砥砺前行”，五中全会和蚂蚁金服.m4a
43	文集/2020/十一月/20201107 美国大选，蚂蚁事件，债券2：可转债和垃圾债.mp3
44	文集/2020/十一月/20201114 国内的债务危机 美国股市 心学：至诚.mp3
45	文集/2020/十一月/20201121 债券3：可转债， 再谈“金”，投资的第二重意义.mp3
46	文集/2020/十二月/20201205 债券4：高息债
47	文集/2020/十二月/20201212 再谈“年终总结”
48	文集/2020/十二月/20201219 中央经济会议，资产形态的变异，美元.m4a
49	文集/2021/一月/20210102 中欧投资协定，投资中的“三观”，建设自己的平台.mp3
50	文集/2021/一月/20210116 投资中时间的意义，聊几句大宗.mp3
51	文集/2021/一月/20210130 美国散户革命，俄罗斯乱象，耶伦的信，投资的空间意义.m4a
52	文集/2021/二月/20210206快手上市、深交所主板和中小板合并、美国资本市场的变化与近期国际局势、A股.mp3
53	文集/2021/二月/20210213节、生产力工具.m4a
54	文集/2021/二月/20210220恕、比特币与黄金.m4a
55	文集/2021/二月/20210227投资管理、解读美国经济、美元和黄金.m4a
56	文集/2021/三月/20210306“云”和“碳”、当下的经济与市场.m4a
57	文集/2021/三月/20210313投资中心态的调整、战略选择和战术调整、保“6”的内外部因素.m4a
58	文集/2021/三月/20210320阳明心学小结、阿拉斯加会议.m4a
59	文集/2021/三月/20210327投资课小结：避免投资失误的原则、当下形势分析.mp3
60	文集/2023/三月/20230311-【投资学】投资学补充（1）态势感知.m4a
61	文集/2023/三月/20230325-【投资学】投资学补充（2）蛛丝马迹（谈谈心学的六自）.m4a
62	文集/2023/四月/20230408-【投资学】投资学补充（3）起于暗淡（聊几句当下的状况）.m4a
63	文集/2023/四月/20230422-【投资学】投资学补充（4）起于暗淡.mp3
64	文集/2026/一月/247-20240420_投资课“补”：_投资三忌.docx
